"circuit","pageUrl","alt","imageUrl","fileName","status","bytes","error"
"Adelaide International Raceway","https://www.racingcircuits.info/australasia/australia/adelaide-international-raceway.html","Map of Adelaide International Raceway, Full Circuit 1972 to date","https://www.racingcircuits.info/assets/images/maps/Australasia/Australia/Adelaide%20Intl%20Rcwy/Adelaide-IR72.png","Adelaide-International-Raceway__Adelaide-IR72__af1af281.png","skipped","61994",""
"Adelaide International Raceway","https://www.racingcircuits.info/australasia/australia/adelaide-international-raceway.html","Map of Adelaide International Raceway, Speedway Super Bowl 1972 to date","https://www.racingcircuits.info/assets/images/maps/Australasia/Australia/Adelaide%20Intl%20Rcwy/Adelaide-IR-Oval72.png","Adelaide-International-Raceway__Adelaide-IR-Oval72__b3941e67.png","skipped","46770",""
"Adelaide International Raceway","https://www.racingcircuits.info/australasia/australia/adelaide-international-raceway.html","Map of Adelaide International Raceway, Short Circuit 1972 to date","https://www.racingcircuits.info/assets/images/maps/Australasia/Australia/Adelaide%20Intl%20Rcwy/Adelaide-IR-Short72.png","Adelaide-International-Raceway__Adelaide-IR-Short72__9a483f52.png","skipped","60222",""
"Aberdare Park","https://www.racingcircuits.info/europe/united-kingdom/aberdare-park.html","Map of Aberdare Park, Road Racing Circuit 1950-54, 1977 to date","https://www.racingcircuits.info/assets/images/maps/Europe/United%20Kingdom/Aberdare%20Park/Aberdare-Park50.png","Aberdare-Park__Aberdare-Park50__633c3ae5.png","skipped","62460",""
"Adelaide Parklands","https://www.racingcircuits.info/australasia/australia/adelaide.html","Map of Adelaide Parklands, Adelaide 500 Circuit 2022 onwards","https://www.racingcircuits.info/assets/images/maps/Australasia/Australia/Adelaide/Adelaide09.png","Adelaide-Parklands__Adelaide09__8d4b66fc.png","skipped","86331",""
"Adelaide Parklands","https://www.racingcircuits.info/australasia/australia/adelaide.html","Map of Adelaide Parklands, ALMS Circuit 2000","https://www.racingcircuits.info/assets/images/maps/Australasia/Australia/Adelaide/Adelaide85-95-00.png","Adelaide-Parklands__Adelaide85-95-00__7f3cdef9.png","skipped","94325",""
"Adelaide Parklands","https://www.racingcircuits.info/australasia/australia/adelaide.html","Map of Adelaide Parklands, V8 Supercars Circuit 2002-08","https://www.racingcircuits.info/assets/images/maps/Australasia/Australia/Adelaide/Adelaide02-08.png","Adelaide-Parklands__Adelaide02-08__f0f07776.png","skipped","86298",""
"Adelaide Parklands","https://www.racingcircuits.info/australasia/australia/adelaide.html","Map of Adelaide Parklands, V8 Supercars Circuit 2001","https://www.racingcircuits.info/assets/images/maps/Australasia/Australia/Adelaide/Adelaide99-01.png","Adelaide-Parklands__Adelaide99-01__f03d7ced.png","skipped","86927",""
"Adria International Raceway","https://www.racingcircuits.info/europe/italy/adria.html","Map of Adria International Raceway, Full Circuit 2021 to date","https://www.racingcircuits.info/assets/images/maps/Europe/Italy/Adria/Adria-2021.png","Adria-International-Raceway__Adria-2021__ec3794f5.png","skipped","86428",""
"Adria International Raceway","https://www.racingcircuits.info/europe/italy/adria.html","Map of Adria International Raceway, Full Circuit 2012-20","https://www.racingcircuits.info/assets/images/maps/Europe/Italy/Adria/Adria-2012.png","Adria-International-Raceway__Adria-2012__d30722da.png","skipped","139602",""
